koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
FALSE POSITIVE,0,0,1,1,4.63958598,1.74E-05,-1.74E-05,172.21917,0.0034,-0.0034,0.014,0.442,-0.014,2.768,0.101,-0.101,83.4,3.5,-3.5,1.52,0.3,-0.42,1587,1496.31,887.54,-794.14,28.1,1,6591,169,-186,4.024,0.273,-0.117,1.646,0.329,-0.452,296.35733,48.86372,12.057
CONFIRMED,0,0,0,0,34.4359387,9.57E-05,-9.57E-05,193.038,0.00196,-0.00196,0.017,0.388,-0.017,5.82,0.0692,-0.0692,424.5,9.3,-9.3,2.78,0.48,-0.48,652,42.68,20.42,-15.99,52.6,1,5929,107,-131,4.243,0.137,-0.125,1.363,0.236,-0.236,298.26895,48.91674,12.674
CONFIRMED,0,0,0,0,5.317440164,6.38E-06,-6.38E-06,171.875619,0.000897,-0.000897,0.72,0.119,-0.489,2.9331,0.0378,-0.0378,292.5,4.1,-4.1,1.94,0.3,-0.22,1105,351.52,152.76,-99.11,80.9,1,5923,107,-131,4.377,0.099,-0.121,1.054,0.164,-0.12,284.73904,49.5984,12.324
CONFIRMED,0,0,0,0,10.10575764,3.52E-05,-3.52E-05,135.50958,0.0028,-0.0028,0.828,0,-0.592,2.0138,0.0895,-0.0895,116.8,6.5,-6.5,1.28,0.2,-0.14,892,149.4,64.93,-42.12,19.9,2,5923,107,-131,4.377,0.099,-0.121,1.054,0.164,-0.12,284.73904,49.5984,12.324
CONFIRMED,0,0,0,0,210.6013843,0.0002347,-0.0002347,147.056867,0.000886,-0.000886,0.002,0.172,-0.002,11.9922,0.0347,-0.0347,4159.3,18.5,-18.5,7.7,1.25,-1.03,342,3.22,1.45,-1.01,232.4,2,5970,107,-131,4.317,0.11,-0.121,1.2,0.195,-0.16,284.4335,49.305161,13.804
CANDIDATE,0,0,0,0,75.731195,0.001885,-0.001885,201.9685,0.0291,-0.0291,0.9,0.042,-0.61,4.859,0.219,-0.219,2496,173,-173,3.47,0.22,-0.16,237,0.74,0.16,-0.12,16.3,5,3891,70,-86,4.718,0.018,-0.042,0.564,0.035,-0.026,283.33606,47.174541,16.279
CONFIRMED,0,0,0,0,27.08239734,8.69E-05,-8.69E-05,191.80728,0.00242,-0.00242,0.915,0.009,-0.637,5.0119,0.1,-0.1,423.2,11.2,-11.2,3.25,0.52,-0.64,703,57.77,25.72,-23.34,40.9,1,5857,105,-117,4.204,0.176,-0.108,1.305,0.209,-0.256,298.06769,49.412601,13.77
CANDIDATE,0,0,0,0,152.1060435,0.000258,-0.000258,176.52741,0.00136,-0.00136,0.878,0.007,-0.009,7.4517,0.0927,-0.0927,3688.3,36.2,-36.2,11.58,1.98,-2.43,458,10.36,5.03,-4.38,116.3,1,6200,124,-124,4.072,0.188,-0.101,1.64,0.281,-0.343,295.21268,49.56218,13.374
CANDIDATE,0,0,0,0,30.6528935,0.0002234,-0.0002234,135.04211,0.00624,-0.00624,0.682,0.039,-0.493,4.99,0.161,-0.161,269.7,16.2,-16.2,2.86,0.49,-0.6,780,87.69,42.54,-37.1,17.4,2,6200,124,-124,4.072,0.188,-0.101,1.64,0.281,-0.343,295.21268,49.56218,13.374
FALSE POSITIVE,0,1,1,0,0.512869432,9.08E-07,-9.08E-07,132.01554,0.00197,-0.00197,1.263,0.224,-0.117,4.015,0.07,-0.07,2313,24.4,-24.4,31.12,9.04,-3.02,2185,5384.53,4624.29,-1576.53,133.9,3,5853,163,-204,4.529,0.048,-0.204,0.895,0.26,-0.087,294.59052,41.94651,16.095
CONFIRMED,0,0,0,0,5.19492747,2.78E-05,-2.78E-05,131.62458,0.00432,-0.00432,0.093,0.376,-0.093,3.167,0.132,-0.132,272.9,19.3,-19.3,2.03,0.66,-0.26,1238,554.37,533.78,-195.42,16.5,1,6415,177,-243,4.374,0.065,-0.208,1.224,0.4,-0.16,290.86771,38.960121,15.598
FALSE POSITIVE,0,0,0,1,1.33251589,1.49E-05,-1.49E-05,132.0842,0.0115,-0.0115,0.53,0.415,-0.31,4.216,0.185,-0.185,140.5,7.7,-7.7,1.3,0.43,-0.32,1747,2207.85,2163.24,-1106.29,22.2,1,5701,172,-189,4.291,0.247,-0.202,1.068,0.348,-0.261,294.53619,46.50983,15.255
CONFIRMED,0,0,0,0,28.227413,0.0001498,-0.0001498,141.49504,0.00471,-0.00471,0.025,0.416,-0.025,5.782,0.147,-0.147,1113.4,50.5,-50.5,2.82,0.74,-0.26,565,24.03,18.48,-6.73,25.3,1,5858,157,-192,4.553,0.035,-0.184,0.849,0.222,-0.079,295.68484,39.256142,15.873
FALSE POSITIVE,0,1,1,0,0.545544979,1.96E-06,-1.96E-06,131.72408,0.00278,-0.00278,0.604,0.038,-0.491,1.954,0.123,-0.123,92.6,4.8,-4.8,0.93,0.29,-0.1,2240,5913.74,5463.62,-1722.7,24.8,1,6050,163,-181,4.509,0.04,-0.216,0.92,0.29,-0.097,288.14764,43.099709,14.914
CANDIDATE,0,0,0,0,2.98618134,2.66E-05,-2.66E-05,133.46926,0.00653,-0.00653,0.249,0.21,-0.249,2.969,0.234,-0.234,122.9,11.9,-11.9,1.16,0.38,-0.13,1356,798.35,793.1,-256.68,12,1,6173,193,-236,4.447,0.056,-0.224,1.041,0.341,-0.114,291.88632,44.478981,15.33
FALSE POSITIVE,0,0,1,0,25.9200092,0.0005088,-0.0005088,138.1757,0.0162,-0.0162,0.054,0.405,-0.054,5.609,0.62,-0.62,331.4,35,-35,1.28,0.21,-0.08,515,16.59,8.63,-3.74,10.9,1,5517,163,-163,4.631,0.032,-0.104,0.704,0.115,-0.046,293.77737,38.775459,15.406
CONFIRMED,0,0,0,0,6.17817366,1.39E-05,-1.39E-05,168.8626,0.00181,-0.00181,0.775,0.047,-0.543,3.2601,0.0544,-0.0544,101.9,2.5,-2.5,1.22,0.17,-0.19,1082,324.69,130.63,-111.84,43.5,3,5931,107,-118,4.322,0.137,-0.112,1.101,0.157,-0.173,283.23581,41.34304,11.818
CANDIDATE,0,0,0,0,7.25101997,4.48E-05,-4.48E-05,138.1878,0.00504,-0.00504,0.314,0.148,-0.314,2.799,0.142,-0.142,122.8,11.5,-11.5,0.91,0.1,-0.03,807,100.18,30.76,-12.11,12.2,2,5382,80,-80,4.571,0.015,-0.095,0.827,0.091,-0.028,290.34851,50.902851,14.477
CONFIRMED,0,0,0,0,5.65178922,1.36E-05,-1.36E-05,172.27915,0.00184,-0.00184,0.906,0.005,-0.636,3.0933,0.045,-0.045,134.1,3.9,-3.9,2.03,0.36,-0.3,1248,574.71,280.53,-193.75,39.5,1,6085,108,-145,4.218,0.12,-0.12,1.463,0.26,-0.213,286.24719,50.242409,12.182
FALSE POSITIVE,0,0,1,1,2.976020742,8.30E-06,-8.30E-06,171.65845,0.00233,-0.00233,0.721,0.085,-0.262,3.73,0.0955,-0.0955,114.9,2.4,-2.4,2.07,0.43,-0.65,1740,2169.16,1400.54,-1246.33,60.6,1,5947,178,-148,3.939,0.308,-0.103,1.796,0.376,-0.564,290.12018,38.50951,12.302
CANDIDATE,0,0,0,0,7.37867551,3.75E-05,-3.75E-05,135.82271,0.00402,-0.00402,0.513,0.028,-0.461,3.349,0.137,-0.137,125.1,6.4,-6.4,1.11,0.16,-0.06,933,178.68,70.35,-31.66,22.3,2,5936,94,-130,4.501,0.019,-0.11,0.965,0.139,-0.05,296.41855,49.5401,13.235
CONFIRMED,0,0,0,0,4.903321801,4.92E-06,-4.92E-06,172.900587,0.000828,-0.000828,0.016,0.386,-0.016,2.8887,0.028,-0.028,334.5,4.6,-4.6,2.37,0.39,-0.36,1247,570.65,269.78,-192.98,84.5,1,6045,121,-133,4.276,0.115,-0.126,1.298,0.216,-0.194,296.56662,49.696251,13.174
CONFIRMED,0,0,0,0,1.82708193,4.70E-07,-4.70E-07,170.52583,0.000206,-0.000206,0.033,0.239,-0.033,1.96401,0.00799,-0.00799,1164.7,5,-5,5.95,3.57,-3.56,1877,2925.17,5492.75,-2509.08,273.7,1,5311,159,-159,3.864,0.749,-0.321,1.769,1.06,-1.06,297.73639,49.63715,13.807
FALSE POSITIVE,0,1,0,0,22.84524104,8.99E-07,-8.99E-07,172.8026986,3.17E-05,-3.17E-05,0.617,0.001,-0.001,5.3007,0.00244,-0.00244,45676,14.9,-14.9,30.35,4.76,-5.84,762,79.78,32.14,-30.77,3845.4,1,5926,70,-88,4.187,0.176,-0.108,1.351,0.212,-0.26,293.91489,50.46933,13.883
CANDIDATE,0,0,0,0,2.5738437,1.68E-05,-1.68E-05,132.17126,0.00534,-0.00534,0.044,0.427,-0.044,1.92,0.147,-0.147,46.6,4.9,-4.9,0.57,0.07,-0.06,1129,384.24,159.06,-110.97,10.9,2,5115,154,-139,4.477,0.095,-0.105,0.854,0.103,-0.093,286.81937,46.91169,13.632
FALSE POSITIVE,0,0,1,0,18.3980827,0.0002195,-0.0002195,144.9175,0.011,-0.011,0.587,0.37,-0.387,4.438,0.265,-0.265,145,10.5,-10.5,1.26,0.18,-0.14,686,52.31,20.69,-14.16,17.2,1,5605,101,-101,4.381,0.11,-0.099,1.015,0.142,-0.116,290.97223,40.994678,14.168
FALSE POSITIVE,0,0,1,0,13.6550963,0.0001515,-0.0001515,137.52651,0.00742,-0.00742,0.235,0.22,-0.235,4.117,0.215,-0.215,196.3,15.8,-15.8,1.35,0.45,-0.14,780,87.46,85.77,-26.68,14.6,1,6065,180,-198,4.487,0.054,-0.216,0.962,0.315,-0.105,296.61996,48.9058,14.818
CONFIRMED,0,0,0,0,27.50871575,2.24E-05,-2.24E-05,182.103494,0.000635,-0.000635,0.577,0.053,-0.417,5.9291,0.0409,-0.0409,639.2,3.7,-3.7,2.98,0.13,-0.12,663,45.66,6.51,-5.82,190.3,1,5903,70,-79,4.304,0.02,-0.018,1.137,0.05,-0.046,288.45065,40.245327,11.529
CONFIRMED,0,0,0,0,20.0708757,0.0004868,-0.0004868,136.9462,0.0203,-0.0203,0.643,0.306,-0.423,6.354,0.506,-0.506,405.7,35.4,-35.4,3.2,0.54,-0.66,826,110.19,47.72,-44.51,12.8,1,5902,70,-79,4.128,0.182,-0.098,1.513,0.256,-0.313,283.94244,41.4716,14.935
CANDIDATE,0,0,0,0,10.18318233,9.81E-05,-9.81E-05,133.21404,0.00752,-0.00752,0.449,0.512,-0.255,3.137,0.22,-0.22,51.5,5.1,-5.1,0.79,0.13,-0.05,867,133.56,60.39,-26.74,11.2,1,5843,104,-127,4.421,0.04,-0.12,1.084,0.177,-0.071,287.97885,42.679359,12.857
CANDIDATE,0,0,0,0,6.2321233,0.000125,-0.000125,135.2369,0.0136,-0.0136,0.32,0.137,-0.32,2.85,0.527,-0.527,31.7,4.8,-4.8,0.61,0.1,-0.04,1021,256.72,116.08,-51.4,8.5,3,5843,104,-127,4.421,0.04,-0.12,1.084,0.177,-0.071,287.97885,42.679359,12.857
CANDIDATE,0,0,0,0,8.2942929,0.0001518,-0.0001518,134.8478,0.0152,-0.0152,0.006,0.455,-0.006,3.976,0.385,-0.385,36.8,4.1,-4.1,0.65,0.1,-0.04,928,175.39,79.3,-35.11,10.1,2,5843,104,-127,4.421,0.04,-0.12,1.084,0.177,-0.071,287.97885,42.679359,12.857
FALSE POSITIVE,0,0,1,1,1.540411479,9.45E-06,-9.45E-06,131.99239,0.00444,-0.00444,0.781,0.186,-0.584,1.703,0.21,-0.21,107.1,11.8,-11.8,0.92,0.25,-0.08,1446,1029.25,790.73,-269.86,12.1,1,5769,155,-172,4.57,0.032,-0.179,0.812,0.212,-0.071,286.01587,38.411339,14.991
CONFIRMED,0,0,0,0,25.75274977,6.39E-05,-6.39E-05,136.43851,0.00186,-0.00186,0.516,0.417,-0.314,2.7678,0.0611,-0.0611,738.9,21.2,-21.2,2.27,0.09,-0.16,501,14.88,2.25,-2.83,36.7,2,4963,81,-74,4.501,0.072,-0.022,0.826,0.032,-0.06,294.66797,43.85326,14.55
CANDIDATE,0,0,0,0,10.16102353,9.18E-06,-9.18E-06,172.000736,0.000741,-0.000741,0.716,0.053,-0.501,3.1627,0.0546,-0.0546,1653.9,16.7,-16.7,4.62,1.37,-0.73,904,157.97,141.44,-62.35,111.1,1,6032,189,-232,4.387,0.108,-0.201,1.06,0.312,-0.168,290.73517,44.09132,14.633
CONFIRMED,0,0,0,0,49.41121127,6.27E-05,-6.27E-05,198.238709,0.000923,-0.000923,0.885,0.008,-0.014,5.278,0.0815,-0.0815,3184,30.2,-30.2,6.77,1.07,-0.46,497,14.48,6.03,-2.64,125.4,1,5768,78,-86,4.434,0.054,-0.126,1.015,0.161,-0.069,286.04712,45.053211,15
CONFIRMED,0,0,0,0,36.8567758,0.0001622,-0.0001622,138.90683,0.00364,-0.00364,0.05,0.44,-0.05,7.495,0.145,-0.145,714.1,18.2,-18.2,2.68,0.43,-0.18,549,21.4,8.91,-3.9,43.8,2,5768,78,-86,4.434,0.054,-0.126,1.015,0.161,-0.069,286.04712,45.053211,15
FALSE POSITIVE,1,0,0,0,35.080928,0.001584,-0.001584,164.4576,0.0408,-0.0408,0.712,0.255,-0.498,6.92,1.8,-1.8,100.7,14.9,-14.9,1.21,0.21,-0.14,610,32.63,15.45,-9.2,7.6,2,6007,108,-133,4.353,0.084,-0.126,1.126,0.193,-0.128,299.67587,47.07584,14.089
CONFIRMED,0,0,0,0,10.39986173,4.52E-05,-4.52E-05,141.51366,0.00346,-0.00346,0.757,0.009,-0.542,3.377,0.103,-0.103,275.3,13.6,-13.6,1.5,0.06,-0.11,678,49.86,7.44,-9.65,22.8,2,4963,79,-79,4.501,0.075,-0.025,0.826,0.032,-0.06,287.56473,44.305,14.859
FALSE POSITIVE,0,0,1,1,0.828206212,8.80E-07,-8.80E-07,135.722038,0.000833,-0.000833,0.615,0.089,-0.445,1.737,0.0329,-0.0329,132.3,2.4,-2.4,3.88,0.89,-1.64,3274,27125.5,18961.85,-19066.16,68.1,1,5812,175,-157,3.598,0.367,-0.122,3.227,0.737,-1.369,288.44153,45.609001,11.743
CONFIRMED,0,0,0,0,24.31574009,7.34E-05,-7.34E-05,183.40875,0.00239,-0.00239,0.653,0.066,-0.471,4.1344,0.0778,-0.0778,643.3,17.4,-17.4,2.8,0.92,-0.3,683,51.53,49.48,-16.17,42.5,1,6242,168,-224,4.442,0.056,-0.21,1.047,0.343,-0.114,292.4274,44.381271,14.686
FALSE POSITIVE,0,1,1,1,199.443024,0.0006842,-0.0006842,240.85148,0.00231,-0.00231,0.932,0.039,-0.018,7.409,0.176,-0.176,4036,120,-120,9.3,1.48,-1.63,332,2.86,1.3,-1.05,55.1,1,5646,112,-101,4.278,0.162,-0.108,1.153,0.184,-0.202,281.76578,44.57637,14.546
CONFIRMED,0,0,0,0,4.454194254,3.36E-07,-3.36E-07,172.8202233,5.85E-05,-5.85E-05,0.479,0.029,-0.038,2.3061,0.0122,-0.0122,16042,20.1,-20.1,11.76,3.12,-1.77,1017,252.22,206.37,-90.99,1022.2,1,5359,175,-159,4.425,0.136,-0.221,0.915,0.242,-0.138,299.90591,45.439678,14.995
FALSE POSITIVE,1,0,0,0,809.0141881,0.0009214,-0.0009214,250.634242,0.000638,-0.000638,0.717,0.011,-0.014,8.3017,0.0619,-0.0619,16311,92.8,-92.8,14.38,4.48,-1.92,216,0.51,0.47,-0.17,212.9,1,6230,169,-206,4.397,0.087,-0.203,1.047,0.326,-0.14,290.38983,45.665329,14.74
CONFIRMED,0,0,0,0,21.0871953,5.93E-06,-5.93E-06,202.858405,0.000202,-0.000202,0.065,0.033,-0.065,5.92691,0.00815,-0.00815,8894.7,18.3,-18.3,14.43,2.49,-3.03,873,137.06,66.74,-58.19,556.2,1,6266,125,-125,4.101,0.182,-0.098,1.522,0.262,-0.32,296.96027,46.034302,14.327
FALSE POSITIVE,0,1,0,0,1.575631524,2.75E-07,-2.75E-07,170.393276,0.000137,-0.000137,1.065,0.317,-0.126,2.59202,0.00892,-0.00892,25627,68.2,-68.2,28.66,7.98,-2.67,1577,1464.43,1231.53,-412.53,465.4,1,6202,187,-206,4.537,0.05,-0.2,0.858,0.239,-0.08,295.43478,46.203129,14.731
CONFIRMED,0,0,0,0,6.09855603,2.54E-05,-2.54E-05,135.92906,0.00377,-0.00377,0.21,0.241,-0.21,2.9815,0.099,-0.099,84.4,3.8,-3.8,0.84,0.09,-0.08,927,174.3,57.77,-41.06,24.8,4,5465,109,-109,4.449,0.085,-0.085,0.925,0.101,-0.083,287.698,42.338718,12.498
CONFIRMED,0,0,0,0,16.54295261,5.36E-05,-5.36E-05,169.65031,0.00229,-0.00229,0.329,0.119,-0.329,3.8516,0.083,-0.083,726,23.1,-23.1,2.31,0.35,-0.21,611,32.94,17.1,-8.74,36.1,1,5215,173,-157,4.518,0.048,-0.104,0.867,0.134,-0.077,297.67261,48.302311,14.687
CONFIRMED,0,0,0,0,11.0234748,7.63E-06,-7.63E-06,171.114662,0.000533,-0.000533,0.724,0.145,-0.504,1.4814,0.0241,-0.0241,1795.5,27.4,-27.4,2.46,0.14,-0.19,429,8.04,1.67,-1.77,77.2,1,3744,75,-84,4.718,0.039,-0.021,0.537,0.03,-0.041,298.10571,48.40115,14.273
CONFIRMED,0,0,0,0,34.18884323,5.70E-05,-5.70E-05,193.38946,0.00129,-0.00129,0.065,0.305,-0.065,5.3278,0.0482,-0.0482,1063.2,14.5,-14.5,2.97,0.35,-0.26,526,18.05,6.39,-4.14,83.9,1,5515,109,-109,4.453,0.076,-0.093,0.925,0.11,-0.08,283.50726,48.552601,14.106
CONFIRMED,0,0,0,0,4.30165843,3.67E-06,-3.67E-06,172.311001,0.000678,-0.000678,0.547,0.371,-0.337,2.1055,0.0295,-0.0295,739.4,9.8,-9.8,2.42,0.55,-0.24,1009,244.48,170.96,-66.17,88.3,1,5480,164,-147,4.509,0.063,-0.147,0.865,0.198,-0.085,290.43759,48.791882,14.332
CONFIRMED,0,0,0,0,7.650243513,6.40E-06,-6.40E-06,171.972352,0.000669,-0.000669,0.014,0.323,-0.014,2.752,0.0222,-0.0222,981.4,10.7,-10.7,2.3,0.45,-0.18,772,83.86,50.76,-19.92,98.8,1,5409,162,-146,4.609,0.03,-0.12,0.746,0.145,-0.058,293.16016,48.881191,14.701
CANDIDATE,0,0,0,0,2.47240869,1.89E-05,-1.89E-05,132.44084,0.00584,-0.00584,0.319,0.137,-0.319,1.87,0.173,-0.173,47.5,6,-6,0.36,0.02,-0.02,887,145.69,36.41,-32.07,9,4,4729,143,-143,4.726,0.045,-0.024,0.525,0.028,-0.032,288.45605,45.80212,13.831
CANDIDATE,0,0,0,0,4.592393816,3.02E-06,-3.02E-06,172.004723,0.000523,-0.000523,0.02,0.322,-0.02,2.2748,0.0192,-0.0192,1027.7,11.2,-11.2,2.51,0.45,-0.2,924,172.6,97.43,-42.17,105.9,1,5351,159,-159,4.582,0.03,-0.12,0.796,0.143,-0.061,283.54416,45.225552,14.868
FALSE POSITIVE,0,1,0,0,11.53029332,1.39E-05,-1.39E-05,173.726435,0.000907,-0.000907,0.027,0.411,-0.027,1.8385,0.0336,-0.0336,1209.3,25,-25,3.98,1.1,-0.89,873,137.08,110.58,-63.99,57.6,1,5770,156,-173,4.289,0.204,-0.185,1.152,0.316,-0.258,300.90778,45.45787,14.539
CONFIRMED,0,0,0,0,5.859935955,3.78E-06,-3.78E-06,132.040528,0.000542,-0.000542,0.049,0.281,-0.049,4.0185,0.0168,-0.0168,322.8,1.9,-1.9,2.56,0.1,-0.15,1246,569.5,73.19,-93.4,186.7,1,6181,68,-86,4.22,0.033,-0.027,1.424,0.056,-0.085,288.68869,41.15118,11.018
CONFIRMED,0,0,0,0,2.104721971,8.86E-07,-8.86E-07,171.044219,0.000334,-0.000334,0.001,0.309,-0.001,1.7547,0.0122,-0.0122,905.5,7.1,-7.1,2.89,0.79,-0.26,1365,821.44,654.25,-226.9,153.3,1,5703,154,-188,4.498,0.036,-0.204,0.975,0.264,-0.088,293.05722,45.551189,14.427
FALSE POSITIVE,0,1,1,1,10.63624422,5.22E-05,-5.22E-05,171.69616,0.00417,-0.00417,0.978,0.041,-0.721,5.055,0.275,-0.275,231.7,9.9,-9.9,1.58,0.39,-0.12,756,77.02,55.29,-18.75,24.7,1,5834,157,-157,4.591,0.038,-0.161,0.774,0.188,-0.063,285.3385,46.309872,14.433
CANDIDATE,0,0,0,0,7.9069765,0.0001967,-0.0001967,138.427,0.0179,-0.0179,0.038,0.411,-0.038,4.634,0.503,-0.503,126.1,17.2,-17.2,1.13,0.36,-0.12,994,230.28,215.89,-69.25,8.3,2,6347,170,-207,4.464,0.054,-0.216,0.996,0.319,-0.106,290.88831,51.248169,15.372
CONFIRMED,0,0,0,0,6.412512953,5.04E-06,-5.04E-06,169.879804,0.000616,-0.000616,0.553,0.037,-0.381,5.2677,0.0434,-0.0434,1156.4,7.6,-7.6,3.89,1.18,-0.63,1069,308.76,283.35,-120.95,183.1,1,6026,190,-211,4.366,0.108,-0.201,1.108,0.334,-0.18,293.88293,44.638088,14.684
CONFIRMED,0,0,0,0,2.019997006,2.76E-06,-2.76E-06,170.07102,0.00104,-0.00104,0.502,0.069,-0.422,1.8073,0.0369,-0.0369,332.8,7.4,-7.4,1.46,0.09,-0.08,1166,437.85,99.07,-72.72,52.1,1,5103,101,-101,4.562,0.032,-0.052,0.787,0.051,-0.039,288.58405,44.733799,14.137
CONFIRMED,0,0,0,0,6.521209629,8.39E-06,-8.39E-06,175.7111,0.00105,-0.00105,0.514,0.365,-0.297,2.7975,0.0406,-0.0406,760.4,12.6,-12.6,2.54,0.61,-0.25,932,178.27,123.97,-49.58,69.8,1,5822,140,-175,4.529,0.042,-0.168,0.898,0.217,-0.087,292.22031,44.700031,14.856
CONFIRMED,0,0,0,0,6.996926239,6.34E-06,-6.34E-06,175.914281,0.000719,-0.000719,0.022,0.345,-0.022,2.7374,0.0259,-0.0259,1317.4,15,-15,3.21,0.77,-0.31,888,147.07,102.02,-40.87,101.6,1,5713,138,-173,4.541,0.042,-0.168,0.893,0.215,-0.086,293.17133,45.065601,14.807
CANDIDATE,0,0,0,0,13.9509565,0.0001968,-0.0001968,144.287,0.0108,-0.0108,0.467,0.494,-0.259,5.231,0.332,-0.332,35.7,3.4,-3.4,0.75,0.12,-0.12,849,122.88,57.26,-41.93,11.2,3,5888,105,-129,4.275,0.144,-0.108,1.227,0.207,-0.186,287.37125,39.603569,12.4
FALSE POSITIVE,0,1,0,0,5.428344915,2.34E-06,-2.34E-06,169.753676,0.000329,-0.000329,0.911,0.15,-0.063,1.8931,0.0328,-0.0328,13756,139,-139,14.88,4.81,-1.6,1033,269.19,260.64,-83.78,140.2,1,5936,176,-211,4.501,0.039,-0.221,0.965,0.312,-0.104,297.97424,46.804562,14.694
CANDIDATE,0,0,0,0,24.61480613,3.23E-05,-3.23E-05,191.741225,0.000999,-0.000999,0.435,0.268,-0.297,2.6602,0.0407,-0.0407,1798,28.8,-28.8,4.2,0.45,-0.5,586,27.93,8.48,-7.5,68.4,1,5312,79,-79,4.384,0.137,-0.074,0.986,0.107,-0.117,283.0228,47.261131,14.621
CONFIRMED,0,0,0,0,42.949522,0.0001488,-0.0001488,153.73786,0.00264,-0.00264,0.013,0.42,-0.013,5.4154,0.0898,-0.0898,959.1,25.2,-25.2,2.98,0.32,-0.35,487,13.29,4.04,-3.57,40.7,2,5312,79,-79,4.384,0.137,-0.074,0.986,0.107,-0.117,283.0228,47.261131,14.621
CONFIRMED,0,0,0,0,117.033521,0.001124,-0.001124,245.65151,0.00728,-0.00728,0.188,0.257,-0.188,6.822,0.209,-0.209,770.4,37.4,-37.4,2.68,0.29,-0.32,349,3.49,1.06,-0.93,21.9,3,5312,79,-79,4.384,0.137,-0.074,0.986,0.107,-0.117,283.0228,47.261131,14.621
FALSE POSITIVE,1,0,0,0,386.39833,0.0123,-0.0123,365.94877,0.00848,-0.00848,0.287,0.192,-0.287,8.519,0.874,-0.874,748,313,-313,2.2,0.36,-0.23,214,0.49,0.28,-0.14,4.9,2,5284,185,-185,4.523,0.076,-0.102,0.812,0.133,-0.082,297.71039,48.083832,15.399
CONFIRMED,0,0,0,0,1.55400389,9.87E-07,-9.87E-07,169.830304,0.000523,-0.000523,0.016,0.286,-0.015,1.7664,0.0161,-0.0161,465.8,6.6,-6.6,1.59,0.31,-0.12,1313,704.5,426.4,-167.41,82.1,2,5409,162,-146,4.609,0.03,-0.12,0.746,0.145,-0.058,293.16016,48.881191,14.701
CONFIRMED,0,0,0,0,34.25951418,7.20E-05,-7.20E-05,183.23718,0.00166,-0.00166,0.008,0.404,-0.008,4.7743,0.0553,-0.0553,1072.5,16.8,-16.8,2.41,0.46,-0.19,468,11.36,6.88,-2.7,66.1,3,5409,162,-146,4.609,0.03,-0.12,0.746,0.145,-0.058,293.16016,48.881191,14.701
FALSE POSITIVE,1,0,0,0,23.8761144,2.24E-05,-2.24E-05,143.07006,0.000773,-0.000773,0.014,0.214,-0.014,9.3113,0.0271,-0.0271,1611.7,8.5,-8.5,10.45,3.98,-1.71,1481,1135.6,1278.98,-464.56,225.5,2,9974,275,-413,4.048,0.115,-0.214,2.533,0.965,-0.414,293.78574,45.01849,11.409
CONFIRMED,0,0,0,0,4.79860021,5.33E-06,-5.33E-06,173.257466,0.000839,-0.000839,0.594,0.02,-0.463,3.0384,0.0367,-0.0367,817.4,10.6,-10.6,2.51,0.62,-0.2,978,216.54,156.47,-54.81,88.1,1,5631,152,-169,4.557,0.042,-0.168,0.847,0.207,-0.069,286.55103,49.418739,14.675
CONFIRMED,0,0,0,0,9.57665962,1.07E-05,-1.07E-05,176.683759,0.0009,-0.0009,0.043,0.326,-0.043,3.3603,0.0295,-0.0295,746.8,9.9,-9.9,2.88,0.51,-0.46,846,121.26,57.08,-40.34,82.6,1,5386,80,-72,4.322,0.159,-0.13,1.076,0.191,-0.173,287.1011,46.896481,14.598
CONFIRMED,0,0,0,0,96.6781852,0.000277,-0.000277,140.18339,0.00251,-0.00251,0.336,0.111,-0.336,5.6957,0.0832,-0.0832,951.3,21.6,-21.6,3.29,0.59,-0.53,392,5.55,2.62,-1.84,44.7,2,5386,80,-72,4.322,0.159,-0.13,1.076,0.191,-0.173,287.1011,46.896481,14.598
CONFIRMED,0,0,0,0,20.55280311,3.57E-05,-3.57E-05,145.02837,0.00138,-0.00138,0.568,0.023,-0.45,2.2013,0.0434,-0.0434,727.3,18.8,-18.8,2.99,0.53,-0.48,656,43.8,20.61,-14.57,42.4,3,5386,80,-72,4.322,0.159,-0.13,1.076,0.191,-0.173,287.1011,46.896481,14.598
CONFIRMED,0,0,0,0,10.94026745,3.01E-05,-3.01E-05,170.30551,0.00221,-0.00221,0.595,0.037,-0.453,2.3494,0.0691,-0.0691,538.6,20.2,-20.2,2.08,0.52,-0.18,764,80.52,59,-21.39,30.6,1,5749,156,-173,4.547,0.042,-0.168,0.864,0.214,-0.077,288.67068,47.399139,14.909
